2017-05-08 22:54:09,611 mongodb.py[line:44] WARNING MongoDB delete all remarks.
2017-05-08 22:54:17,548 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b58'), 'proxy': '118.122.250.109:80'}
2017-05-08 22:54:17,549 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b59'), 'proxy': '180.119.76.139:808'}
2017-05-08 22:54:17,550 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b5a'), 'proxy': '110.189.223.85:808'}
2017-05-08 22:54:17,551 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b5b'), 'proxy': '113.121.245.3:808'}
2017-05-08 22:54:17,554 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b5c'), 'proxy': '124.65.51.70:80'}
2017-05-08 22:54:17,555 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b5d'), 'proxy': '125.89.121.194:808'}
2017-05-08 22:54:17,556 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b5e'), 'proxy': '180.110.19.11:808'}
2017-05-08 22:54:17,558 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b5f'), 'proxy': '222.22.92.143:8998'}
2017-05-08 22:54:17,564 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b60'), 'proxy': '59.46.64.51:80'}
2017-05-08 22:54:17,566 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b61'), 'proxy': '119.5.0.44:808'}
2017-05-08 22:54:17,567 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b62'), 'proxy': '122.112.2.14:80'}
2017-05-08 22:54:17,568 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b63'), 'proxy': '112.252.70.77:8998'}
2017-05-08 22:54:17,571 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b64'), 'proxy': '113.5.80.145:8080'}
2017-05-08 22:54:17,573 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b65'), 'proxy': '110.72.35.41:8123'}
2017-05-08 22:54:17,574 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b66'), 'proxy': '218.92.220.53:8080'}
2017-05-08 22:54:17,575 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b67'), 'proxy': '221.206.93.54:808'}
2017-05-08 22:54:17,576 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b68'), 'proxy': '182.90.57.187:8123'}
2017-05-08 22:54:17,577 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b69'), 'proxy': '183.153.29.71:808'}
2017-05-08 22:54:17,578 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b6a'), 'proxy': '117.149.14.213:3128'}
2017-05-08 22:54:17,579 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b6b'), 'proxy': '221.206.91.105:808'}
2017-05-08 22:54:17,580 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b6c'), 'proxy': '110.73.9.237:8123'}
2017-05-08 22:54:17,581 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b6d'), 'proxy': '218.92.220.17:8080'}
2017-05-08 22:54:17,582 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b6e'), 'proxy': '106.3.95.82:2812'}
2017-05-08 22:54:17,582 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b6f'), 'proxy': '61.163.39.70:9999'}
2017-05-08 22:54:17,583 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b70'), 'proxy': '61.224.74.233:8080'}
2017-05-08 22:54:17,585 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b71'), 'proxy': '111.196.92.152:8081'}
2017-05-08 22:54:17,588 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b72'), 'proxy': '121.8.98.201:8080'}
2017-05-08 22:54:17,589 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b73'), 'proxy': '117.90.1.210:9000'}
2017-05-08 22:54:17,591 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b74'), 'proxy': '211.22.205.115:8080'}
2017-05-08 22:54:17,596 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b75'), 'proxy': '171.211.32.196:808'}
2017-05-08 22:54:17,598 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b76'), 'proxy': '36.249.27.5:808'}
2017-05-08 22:54:17,600 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b77'), 'proxy': '112.194.60.98:8998'}
2017-05-08 22:54:17,601 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b78'), 'proxy': '175.8.193.33:8998'}
2017-05-08 22:54:17,604 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b79'), 'proxy': '171.211.32.196:808'}
2017-05-08 22:54:17,606 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b7a'), 'proxy': '36.249.27.5:808'}
2017-05-08 22:54:17,607 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b7b'), 'proxy': '112.194.60.98:8998'}
2017-05-08 22:54:17,607 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b7c'), 'proxy': '175.8.193.33:8998'}
2017-05-08 22:54:17,608 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b7d'), 'proxy': '171.211.32.196:808'}
2017-05-08 22:54:17,610 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b7e'), 'proxy': '36.249.27.5:808'}
2017-05-08 22:54:17,611 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b7f'), 'proxy': '112.194.60.98:8998'}
2017-05-08 22:54:17,612 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b80'), 'proxy': '175.8.193.33:8998'}
2017-05-08 22:54:17,613 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b81'), 'proxy': '116.28.104.219:808'}
2017-05-08 22:54:17,614 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b82'), 'proxy': '58.59.133.214:6300'}
2017-05-08 22:54:17,615 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b83'), 'proxy': '175.155.138.96:808'}
